cotacaoCompra,cotacaoVenda,dataHoraCotacao
"5,0945","5,0951",2023-01-26 13:02:40.388
"5,0761","5,0767",2023-01-27 13:02:20.823
"5,0953","5,0959",2023-01-30 13:09:30.184
"5,0987","5,0993",2023-01-31 13:11:17.029
"5,0987","5,0993",2023-01-31 13:11:17.123
"5,0715","5,0721",2023-02-01 13:04:23.003
"4,9895","4,9901",2023-02-02 13:06:34.991
"5,1024","5,103",2023-02-03 13:10:20.729
"5,1757","5,1763",2023-02-06 13:09:36.686
"5,1689","5,1695",2023-02-07 13:10:17.648
"5,203","5,2036",2023-02-08 13:08:42.613
"5,2309","5,2315",2023-02-09 13:06:23.349
"5,252","5,2526",2023-02-10 13:11:17.992
"5,1828","5,1834",2023-02-13 13:07:17.912
"5,1501","5,1507",2023-02-14 13:04:31.517
"5,2237","5,2243",2023-02-15 13:10:05.932
"5,2426","5,2432",2023-02-16 13:07:19.16
"5,2006","5,2012",2023-02-17 13:11:21.869
"5,1724","5,173",2023-02-22 15:39:24.527
"5,1324","5,133",2023-02-23 13:05:18.359
"5,1785","5,1791",2023-02-24 13:10:55.215
"5,1954","5,196",2023-02-27 13:11:43.013
"5,2072","5,2078",2023-02-28 13:11:19.197
"5,2064","5,207",2023-03-01 13:07:21.4
"5,2074","5,208",2023-03-02 13:09:37.928
"5,2031","5,2037",2023-03-03 13:04:25.958
"5,1964","5,197",2023-03-06 13:06:23.946
"5,1895","5,1901",2023-03-07 13:04:16.368
"5,1381","5,1387",2023-03-08 13:08:39.391
"5,1347","5,1353",2023-03-09 13:07:27.955
"5,1816","5,1822",2023-03-10 13:04:39.316
"5,2394","5,24",2023-03-13 13:07:19.847
"5,2356","5,2362",2023-03-14 13:06:42.426
"5,2975","5,2981",2023-03-15 13:10:23.373
"5,2886","5,2892",2023-03-16 13:08:36.441
"5,2673","5,2679",2023-03-17 13:06:41.604
"5,2461","5,2467",2023-03-20 13:09:32.724
"5,2438","5,2444",2023-03-21 13:02:26.895
"5,2642","5,2648",2023-03-22 13:03:35.608
"5,2626","5,2632",2023-03-23 13:11:17.083
"5,2915","5,2921",2023-03-24 13:10:20.867
"5,23","5,2306",2023-03-27 13:04:25.505
